9665,cover-up,13
180547,marvel cinematic universe,13
170362,fantasy world,13
658,sea,13
1938,sword,13
234213,sword and sorcery,13
10617,disaster,13
393,civil war,13
4630,chaos,13
4375,transformation,13
187065,toy comes to life,13
530,prophecy,13
483,riddle,13
1454,treasure,13
41586,archaeologist,13
388,scotland,13
409,africa,13
4769,supernatural powers,13
8570,president,13
12405,outer space,13
641,single parent,13
4776,race against time,13
11436,redemption,13
3098,castle,13
502,ambush,13
4563,virtual reality,13
9963,kids and family,13
220,berlin,13
10718,fugitive,13
10322,native american,13
185722,based on true events,13
14967,foot chase,13
1441,christmas party,13
186,christianity,13
2070,olympic games,13
162988,dystopic future,13
977,cat,13
5301,brother,13
2398,narration,13
934,judge,13
6496,basketball,13
11800,mockumentary,13
13092,corpse,13
1003,photographer,13
208611,1950s,13
5918,painting,13
3045,mission of murder,13
2571,tv show,13
922,hotel room,13
213,upper class,13
1889,lake,13
2606,jew,13
13043,dating,13
6029,concert,13
592,capitalism,13
6059,unsociability,13
2864,one-night stand,13
851,dual identity,12
6062,hostility,12
13042,soccer,12
223059,animal horror,12
679,cyborg,12
1612,spacecraft,12
526,rebel,12
965,age difference,12
3269,secret mission,12
4237,water,12
1576,technology,12
15149,monkey,12
2913,diary,12
2020,revolution,12
3096,book,12
2598,museum,12
780,kung fu,12
12190,cyberpunk,12
1449,underworld,12
833,white house,12
41249,secret service,12
4373,fraud,12
478,china,12
1327,war crimes,12
2766,mutation,12
3720,power,12
11134,espionage,12
2136,television,12
1666,mexican standoff,12
4668,police operation,12
848,double life,12
3272,secret intelligence service,12
4932,farm,12
156810,science,12
402,clone,12
2831,slavery,12
1366,shotgun,12
11268,psychologist,12
2356,immigrant,12
14707,brutality,12
2139,russia,12
1680,boston,12
1603,extraterrestrial technology,12
9986,crush,12
918,newspaper,12
158375,based on stage musical,12
160910,xenophobia,12
9880,alaska,12
3658,career,12
3271,secret organization,12
1664,eroticism,12
75,gunslinger,12
14636,india,12
6145,right and justice,12
11719,dirty cop,12
732,coma,12
6593,stripper,12
1253,roommate,12
13132,pistol,12
2341,nanny,12
1862,coming out,12
9712,possession,12
2135,radio,12
13063,car accident,12
8636,blood splatter,12
726,drug abuse,11
3446,forgiveness,11
4391,wretch,11
9503,outlaw,11
6464,uncle,11
10466,knight,11
158130,animal attack,11
3088,bodyguard,11
3930,bravery,11
1430,self sacrifice,11
2849,key,11
2587,married couple,11
10563,attack,11
1994,wolf,11
4809,tiger,11
334,flying,11
1647,sadness,11
1668,hawaii,11
188957,virus,11
5638,arrest,11
13153,spirit,11
3258,beauty,11
2280,emperor,11
3246,prosecution,11
3864,false identity,11
15017,danger,11
586,new jersey,11
963,loss of brother,11
2504,world war i,11
4595,u.s. army,11
2336,ladykiller,11
8440,ex-cop,11
15156,cell phone,11
159753,ensemble cast,11
170383,disfigurement,11
4862,alien life-form,11
1968,prisoners of war,11
4812,plan,11
351,poison,11
1284,identity,11
3687,graduation,11
3927,rage and hate,11
1815,atomic bomb,11
18029,trapped,11
6262,delusion,11
2626,exorcism,11
14903,home invasion,11
897,rap music,11
4434,interview,11
33625,illegal prostitution,11
6095,house,11
15363,bank robbery,11
6300,puppet,11
8087,horror,11
3582,bride,11
1601,war on drugs,11
9755,parody,11
9468,liar,11
2570,rock star,11
14676,series of murders,11
739,sexual abuse,11
6025,photography,11
6876,vacation,11
155939,group of friends,11
14604,theft,11
1329,canada,11
497,shakespeare,11
33841,incest,11
40895,illness,11
958,indian lead,11
8029,drama,11
10791,teenage crush,10
627,killing,10
5385,survivor,10
2043,lion,10
603,elves,10
887,film producer,10
6917,epic,10
12965,duel,10
11500,anthropomorphism,10
4896,wish,10
4426,sadism,10
539,middle east,10
18543,combat,10
282,video game,10
490,philosophy,10
716,vatican,10
161207,catholicism,10
11004,rural setting,10
2547,new identity,10
4549,loss of husband,10
4948,retirement,10
2800,psychology,10
2534,missile,10
6731,british,10
15271,interrogation,10
18026,drug lord,10
248,date,10
1919,mayor,10
2217,rain,10
4062,skeleton,10
2908,secret society,10
11148,police chase,10
5939,iraq,10
3684,religion and supernatural,10
18021,detroit,10
4580,van,10
41180,security guard,10
8438,job,10
4728,knife,10
188955,hand to hand combat,10
396,transporter,10
167541,buddy comedy,10
4654,undercover agent,10
9736,little boy,10
13194,planet,10
10224,haunting,10
11199,undercover cop,10
10941,disappearance,10
1522,repayment,10
1411,brothel,10
1926,car journey,10
314,life and death,10
15108,justice,10
9767,beautiful woman,10
217324,murder hunt,10
161261,demonic possession,10
2808,russian,10
2122,death penalty,10
3434,thailand,10
422,vietnam veteran,10
3664,research,10
10540,bollywood,10
110,venice,10
3490,pop star,10
2726,therapist,10
3725,pregnancy and birth,10
445,pornography,10
960,homeless person,10
578,rock and roll,10
1808,lover (female),10
1545,supermarket,10
10329,wealth,10
155722,teen comedy,10
2679,artist,10
236316,anarchic comedy,10
1338,bachelor,10
6844,stalker,10
33910,high school student,10
9685,futuristic,9
10028,steampunk,9
855,fictional place,9
886,film making,9
1718,dna,9
155582,amusement park,9
13160,university,9
4290,toy,9
1373,killer robot,9
1420,gas station,9
15246,sabotage,9
189092,journey,9
9743,stranded,9
10150,end of the world,9
2793,film director,9
40850,destiny,9
6733,bullying,9
1991,santa claus,9
312,man vs machine,9
13084,king,9
14704,ancient world,9
4252,black magic,9
187710,escapade,9
3028,penguin,9
1653,explosive,9
9725,sword fight,9
2173,illegal immigration,9
3243,flying saucer,9
1333,desperation,9
2796,self-discovery,9
10089,slaughter,9
4040,space mission,9
4543,thanksgiving,9
15060,period drama,9
416,miami,9
701,cuba,9
9649,god,9
9682,history,9
1357,fish,9
1475,telepathy,9
1964,cave,9
6129,company,9
697,loss of son,9
2983,passion,9
2016,vandalism,9
18712,based on graphic novel,9
1422,boat,9
6669,step father,9
3703,law,9
6783,orphanage,9
5153,son,9
3301,suspicion,9
162262,movie star,9
9276,truck,9
171366,multiple storylines,9
14742,psychic,9
9706,anthology,9
1452,loss of child,9
3152,planned murder,9
14755,power outage,9
2132,literature,9
222,schizophrenia,9
156091,missing person,9
5625,relationship problems,9
33465,parallel world,9
1227,cemetery,9
10503,scuba diving,9
2957,vietnam war,9
3312,nuclear missile,9
789,muslim,9
11038,trial,9
5049,ancient rome,9
515,women,9
3202,con man,9
2946,presidential election,9
3692,scandal,9
1482,trainer,9
188950,corporation,9
6564,terminal illness,9
10121,stop motion,9
9897,rifle,9
3644,south africa,9
33519,courtroom,9
10624,bully,9
13097,maid,9
2784,mother role,9
207716,actor,9
2887,manipulation,9
907,japanese,9
3452,love letter,9
2671,heroin,9
745,nun,9
3363,hypnosis,9
1525,puberty,9
2249,camcorder,9
8635,high school sports,9
3667,time,9
740,aids,9
12532,african american,9
11181,decapitation,9
74,germany,9
14985,ireland,9
3090,loser,9
12420,unsimulated sex,9
171993,mumblecore,9
9833,lesbian relationship,9
210012,mumblegore,9
179102,superhuman strength,8
1316,captain,8
10761,superhuman,8
3180,sailing,8
177912,wizard,8
4410,u.s. navy,8
12354,hong kong,8
9740,sociopath,8
14527,storm,8
1585,snake,8
613,new year's eve,8
843,cataclysm,8
2535,destroy,8
10198,gay relationship,8
3650,child hero,8
1650,cook,8
2161,mouse,8
486,himalaya,8
10278,ninja,8
2812,computer virus,8
1508,new mexico,8
11860,fish out of water,8
2676,honeymoon,8
9825,growing up,8
33740,humiliation,8
156052,unemployment,8
18047,anger,8
11064,nazi germany,8
14895,cannibal,8
1382,factory,8
447,post traumatic stress  disorder,8
219404,action hero,8
10327,undead,8
345,monk,8
769,falsely accused,8
2227,evacuation,8
1418,skyscraper,8
3376,satellite,8
2870,mephisto,8
4428,stone age,8
5086,telekinesis,8
3586,tv station,8
3392,voodoo,8
6017,genetics,8
3734,ambition,8
8015,cop,8
3581,witness,8
12617,airplane crash,8
1499,pastor,8
14999,devil,8
6212,smuggling,8
214548,1930s,8
4931,pig,8
172291,grieving,8
14785,underwater,8
186450,moscow,8
10637,food,8
4470,punk,8
3412,star,8
2783,family's daily life,8
12990,singing,8
3796,auto,8
704,adolescence,8
15234,convict,8
7375,twin brother,8
2754,trauma,8
9738,ufo,8
1749,taxi driver,8
14638,american,8
634,soul,8
10721,pregnant,8
2143,loss of parents,8
3089,oscar award,8
41591,music band,8
2884,asylum,8
3485,comedian,8
3754,legend,8
2434,liberation,8
13129,execution,8
10551,ballet,8
6158,cult,8
207883,1940s,8
8631,slacker,8
3306,highway,8
1660,suppressed past,8
459,sexual obsession,8
11061,debt,8
6257,genius,8
33476,widower,8
18115,retired,8
13112,murderer,8
2988,shark attack,8
1646,autism,8
5288,rock,8
290,angel,8
733,dancer,8
718,confession,8
4320,lover,8
34061,american abroad,8
33451,masturbation,8
2526,human animal relationship,8
1849,homicide,8
167310,sitting on a toilet,8
215404,laxative,8
5540,heavy metal,8
6162,past,8
1416,jazz,8
5756,man-woman relation,8
630,dolphin,8
2492,bank robber,8
496,poetry,8
10232,fame,8
727,country music,8
3598,ax,8
10326,morgue,8
4528,song,8
33720,guilt,8
11615,internet,8
367,shyness,8
1546,ambulance,8
2974,jesus christ,8
212412,very little dialogue,8
14546,massacre,8
12094,business,8
10266,prom,8
207819,accident,8
1890,camping,8
11732,cigarette smoking,8
2394,ghetto,8
3185,crocodile,8
6034,theatre milieu,8
13059,prostitution,8
2692,arranged marriage,8
181324,existentialism,8
12394,chainsaw,8
1879,shower,8
9872,grief,8
10158,alien planet,7
1437,burglar,7
