38356,Josh Duhamel,Lt. Colonel William Lennox
217,Harrison Ford,Indiana Jones
217,Cate Blanchett,Irina Spalko
217,Shia LaBeouf,Mutt Williams
217,Ray Winstone,'Mac' George Michale
217,Karen Allen,Marion Ravenwood
105864,Raymond Ochoa,Arlo (voice)
105864,Jack Bright,Spot (voice)
105864,Jeffrey Wright,Poppa (voice)
105864,Frances McDormand,Momma (voice)
105864,Maleah Nipay-Padilla,Young Libby (voice)
62177,Kelly Macdonald,Mérida (voice)
62177,Julie Walters,The Witch (voice)
62177,Billy Connolly,King Fergus (voice)
62177,Emma Thompson,Queen Elinor (voice)
62177,Kevin McKidd,Lord MacGuffin / Young MacGuffin (voice)
188927,Chris Pine,James T. Kirk
188927,Zachary Quinto,Spock
188927,Karl Urban,Dr. Leonard 'Bones' McCoy
188927,Simon Pegg,Montgomery 'Scotty' Scott
188927,Zoe Saldana,Nyota Uhura
10681,Ben Burtt,WALL·E / M-O (voice)
10681,Elissa Knight,EVE (voice)
10681,Jeff Garlin,Captain (voice)
10681,Fred Willard,"Shelby Forthright, BnL CEO"
10681,John Ratzenberger,John (voice)
5174,Chris Tucker,Det. James Carter
5174,Jackie Chan,Chief Insp. Lee
5174,Hiroyuki Sanada,Kenji
5174,Max von Sydow,Varden Reynard
5174,Yvan Attal,George
14161,John Cusack,Jackson Curtis
14161,Amanda Peet,Kate Curtis
14161,Chiwetel Ejiofor,Adrian Helmsley
14161,Thandie Newton,Laura Wilson
14161,Oliver Platt,Carl Anheuser
17979,Gary Oldman,"Tiny Tim, Bob Cratchit, Marley"
17979,Jim Carrey,"Ebenezer Scrooge, Ghost of Christmas Past, Ghost of Christmas Present, Ghost of Christmas Yet To Come"
17979,Steve Valentine,Funerary Undertaker / Topper
17979,Daryl Sabara,Undertaker's Apprentice / Tattered Caroler / Beggar Boy / Peter Cratchit / Well-Dressed Caroler
17979,Sage Ryan,Tattered Caroler
76757,Mila Kunis,Jupiter Jones
76757,Channing Tatum,Caine Wise
76757,Sean Bean,Stinger Apini
76757,Eddie Redmayne,Balem Abrasax
76757,Douglas Booth,Titus Abrasax
258489,Alexander Skarsgård,John Clayton / Tarzan
258489,Margot Robbie,Jane Porter
258489,Christoph Waltz,Captain Leon Rom
258489,Samuel L. Jackson,George Washington Williams
258489,Djimon Hounsou,Chief Mbonga
411,William Moseley,Peter Pevensie
411,Anna Popplewell,Susan Pevensie
411,Skandar Keynes,Edmund Pevensie
411,Georgie Henley,Lucy Pevensie
411,Liam Neeson,Aslan (voice)
246655,James McAvoy,Professor Charles Xavier
246655,Michael Fassbender,Erik Lehnsherr / Magneto
246655,Jennifer Lawrence,Raven Darkholme / Mystique
246655,Nicholas Hoult,Hank McCoy / Beast
246655,Oscar Isaac,En Sabah Nur / Apocalypse
155,Christian Bale,Bruce Wayne
155,Heath Ledger,Joker
155,Aaron Eckhart,Harvey Dent
155,Michael Caine,Alfred
155,Maggie Gyllenhaal,Rachel
14160,Ed Asner,Carl Fredricksen (voice)
14160,Christopher Plummer,Charles Muntz (voice)
14160,Jordan Nagai,Russell (voice)
14160,Bob Peterson,Dug / Alpha (voice)
14160,Delroy Lindo,Beta (voice)
15512,Seth Rogen,B.O.B. (voice)
15512,Reese Witherspoon,Susan Murphy / Ginormica (voice)
15512,Hugh Laurie,Dr. Cockroach Ph.D. (voice)
15512,Paul Rudd,Derek Dietl (voice)
15512,Kiefer Sutherland,General W.R. Monger (voice)
1726,Robert Downey Jr.,Tony Stark / Iron Man
1726,Terrence Howard,"Lt. Col. James ""Rhodey"" Rhodes / War Machine"
1726,Jeff Bridges,Obadiah Stane / Iron Monger
1726,Shaun Toub,Yinsen
1726,Gwyneth Paltrow,"Virginia ""Pepper"" Potts"
44826,Ben Kingsley,Georges Méliès
44826,Sacha Baron Cohen,The Station Inspector
44826,Asa Butterfield,Hugo Cabret
44826,Chloë Grace Moretz,Isabelle
44826,Ray Winstone,Uncle Claude
8487,Will Smith,Capt. James West
8487,Kevin Kline,U.S. Marshal Artemus Gordon
8487,Kenneth Branagh,Dr. Arliss Loveless
8487,Salma Hayek,Rita Escobar
8487,M. Emmet Walsh,Coleman
1735,Brendan Fraser,Richard O'Connell
1735,Jet Li,Emperor Han
1735,John Hannah,Jonathan Carnahan
1735,Maria Bello,Evelyn O’Connell
1735,Luke Ford,Alex O'Connell
297761,Will Smith,Floyd Lawton / Deadshot
297761,Margot Robbie,Harleen Quinzel / Harley Quinn
297761,Joel Kinnaman,Rick Flag
297761,Viola Davis,Amanda Waller
297761,Jared Leto,The Joker
2698,Steve Carell,Evan Baxter
2698,Lauren Graham,Joan Baxter
2698,John Goodman,Congressman Long
2698,Jimmy Bennett,Ryan Baxter
2698,John Michael Higgins,Marty
137113,Tom Cruise,"Maj. William ""Bill"" Cage"
137113,Emily Blunt,Sgt. Rita Vrataski
137113,Brendan Gleeson,General Brigham
137113,Bill Paxton,Msg. Farell
137113,Jonas Armstrong,Skinner
9804,Kevin Costner,Mariner
9804,Chaim Girafi,Drifter
9804,Rick Aviles,Gatesman
9804,R. D. Call,Enforcer
9804,Zitto Kazann,Elder / Survivor
14869,Dennis Quaid,General Hawk
14869,Channing Tatum,Duke
14869,Marlon Wayans,Ripcord
14869,Sienna Miller,Ana Lewis / Baroness
14869,Joseph Gordon-Levitt,The Doctor / Rex
150540,Amy Poehler,Joy (voice)
150540,Phyllis Smith,Sadness (voice)
150540,Richard Kind,Bing Bong (voice)
150540,Bill Hader,Fear (voice)
150540,Lewis Black,Anger (voice)
278927,Neel Sethi,Mowgli
278927,Bill Murray,Baloo (voice)
278927,Ben Kingsley,Bagheera (voice)
278927,Idris Elba,Shere Khan (voice)
278927,Scarlett Johansson,Kaa (voice)
10138,Robert Downey Jr.,Tony Stark / Iron Man
10138,Gwyneth Paltrow,"Virginia ""Pepper"" Potts"
10138,Don Cheadle,"Lt. Col. James ""Rhodey"" Rhodes / War Machine"
10138,Scarlett Johansson,Natalie Rushman / Natasha Romanoff / Black Widow
10138,Mickey Rourke,Ivan Vanko / Whiplash
58595,Kristen Stewart,Snow White
58595,Charlize Theron,Queen Ravenna
58595,Chris Hemsworth,The Huntsman
58595,Sam Claflin,William
58595,Ian McShane,Beith
102651,Angelina Jolie,Maleficent
102651,Elle Fanning,Princess Aurora
102651,Sharlto Copley,Stefan
102651,Sam Riley,Diaval
102651,Juno Temple,Thistletwit
119450,Andy Serkis,Caesar
119450,Jason Clarke,Malcolm
119450,Gary Oldman,Dreyfus
119450,Keri Russell,Ellie
119450,Toby Kebbell,Koba
79698,Josh Hartnett,James Stewart / Jay Fennel
79698,Simone Kessell,Clara Coldstream
79698,Tamsin Egerton,Laura Fennel
79698,Alice Englert,Dolly
79698,Bipasha Basu,Tulaja Naik
64686,Keanu Reeves,Kai
64686,Hiroyuki Sanada,Kuranosuke Ôishi
64686,Kou Shibasaki,Mika
64686,Tadanobu Asano,Lord Kira
64686,Min Tanaka,Lord Asano
100402,Chris Evans,Steve Rogers / Captain America
100402,Samuel L. Jackson,Nick Fury
100402,Scarlett Johansson,Natasha Romanoff / Black Widow
100402,Robert Redford,Alexander Pierce
100402,Sebastian Stan,Bucky Barnes / Winter Soldier
10192,Mike Myers,Shrek (voice)
10192,Eddie Murphy,Donkey (voice)
10192,Cameron Diaz,Princess Fiona (voice)
10192,Antonio Banderas,Puss in Boots (voice)
10192,Julie Andrews,Queen (voice)
158852,Britt Robertson,Casey Newton
158852,George Clooney,Frank Walker
158852,Raffey Cassidy,Athena
158852,Thomas Robinson,Young Frank Walker
158852,Hugh Laurie,David Nix
177572,Scott Adsit,Baymax (voice)
177572,Ryan Potter,Hiro Hamada (voice)
177572,Daniel Henney,Tadashi Hamada (voice)
177572,T.J. Miller,Fred (voice)
177572,Jamie Chung,GoGo Tomago (voice)
82690,John C. Reilly,Wreck-It Ralph (voice)
82690,Sarah Silverman,Vanellope von Schweetz (voice)
82690,Jack McBrayer,Fix-It Felix (voice)
82690,Jane Lynch,Sergeant Calhoun (voice)
82690,Alan Tudyk,King Candy (voice)
5255,Tom Hanks,Hero Boy / Father / Conductor / Hobo / Scrooge / Santa Claus (voice)
5255,Michael Jeter,Smokey / Steamer (voice)
5255,Nona Gaye,Hero Girl (voice)
5255,Peter Scolari,Lonely Boy Billy (voice)
5255,Eddie Deezen,Know-It-All (voice)
47933,Liam Hemsworth,Jake Morrison
47933,Jeff Goldblum,David Levinson
47933,Bill Pullman,President Whitmore
47933,Maika Monroe,Patricia Whitmore
47933,Sela Ward,President Lanford
10191,Jay Baruchel,Hiccup
10191,Gerard Butler,Stoick
10191,Craig Ferguson,Gobber
10191,America Ferrera,Astrid
10191,Jonah Hill,Snotlout
296,Arnold Schwarzenegger,The Terminator
296,Nick Stahl,John Connor
296,Claire Danes,Kate Brewster
296,Kristanna Loken,T-X
296,David Andrews,Robert Brewster
118340,Chris Pratt,Peter Quill / Star-Lord
118340,Zoe Saldana,Gamora
118340,Dave Bautista,Drax the Destroyer
118340,Vin Diesel,Groot (voice)
118340,Bradley Cooper,Rocket  Raccoon (voice)
157336,Matthew McConaughey,Joseph Cooper
157336,Jessica Chastain,Murph Cooper
157336,Anne Hathaway,Dr. Amelia Brand
157336,Michael Caine,Professor John Brand
157336,Casey Affleck,Tom Cooper
27205,Leonardo DiCaprio,Dom Cobb
27205,Joseph Gordon-Levitt,Arthur
27205,Ellen Page,Ariadne
27205,Tom Hardy,Eames
27205,Ken Watanabe,Saito
315011,Hiroki Hasegawa,Rando Yaguchi : Deputy Chief Cabinet Secretary
315011,Yutaka Takenouchi,Hideki Akasaka : Special Advisor to the Prime Minister(National Security)
315011,Satomi Ishihara,Kayoko Ann Patterson : US special envoy
315011,Kengo Kora,Yuseuke Shimura : Secretary of Rando
315011,Matsuo Satoru,Syuichi Izumi : Policy Research Council Vice Chairman
49051,Ian McKellen,Gandalf
49051,Martin Freeman,Bilbo
49051,Richard Armitage,Thorin
49051,Andy Serkis,Gollum
49051,Cate Blanchett,Galadriel
9799,Paul Walker,Brian O'Conner
9799,Vin Diesel,Dominic Toretto
9799,Michelle Rodriguez,Letty Ortiz
9799,Jordana Brewster,Mia Toretto
9799,Rick Yune,Johnny Tran
4922,Cate Blanchett,Daisy
4922,Brad Pitt,Benjamin Button
4922,Tilda Swinton,Elizabeth Abbott
4922,Julia Ormond,Caroline
4922,Elle Fanning,Daisy Age 7
49538,James McAvoy,Charles Xavier / Professor X
49538,Michael Fassbender,Erik Lehnsherr / Magneto
49538,Jennifer Lawrence,Raven Darkholme / Mystique
49538,Kevin Bacon,Sebastian Shaw / Black Bishop
49538,Rose Byrne,Moira MacTaggert
131634,Jennifer Lawrence,Katniss Everdeen
131634,Josh Hutcherson,Peeta Mellark
131634,Liam Hemsworth,Gale Hawthorne
131634,Woody Harrelson,Haymitch Abernathy
131634,Elizabeth Banks,Effie Trinket
27022,Nicolas Cage,Balthazar Blake
27022,Jay Baruchel,Dave Stutler
27022,Monica Bellucci,Veronica Gorloisen
27022,Alfred Molina,Maxim Horvath
27022,Teresa Palmer,Becky Barnes
503,Kurt Russell,Robert Ramsey
503,Richard Dreyfuss,Richard Nelson
503,Josh Lucas,Dylan Johns
503,Jacinda Barrett,Maggie James
503,Emmy Rossum,Jennifer Ramsey
241259,Johnny Depp,Mad Hatter
241259,Mia Wasikowska,Alice Kingsleigh
241259,Anne Hathaway,White Queen
241259,Helena Bonham Carter,Red Queen
241259,Alan Rickman,Blue Caterpillar (voice)
810,Mike Myers,Shrek (voice)
810,Eddie Murphy,Donkey (voice)
810,Cameron Diaz,Princess Fiona (voice)
810,Julie Andrews,Queen Lillian (voice)
810,Antonio Banderas,Puss in Boots (voice)
68735,Paula Patton,Garona Halforcen
68735,Travis Fimmel,Anduin Lothar
68735,Ben Foster,Medivh
68735,Robert Kazinsky,Orgrim Doomhammer
68735,Dominic Cooper,King Llane Wrynn
87101,Arnold Schwarzenegger,The Terminator
87101,Jason Clarke,John Connor
87101,Emilia Clarke,Sarah Connor
87101,Jai Courtney,Kyle Reese
87101,J.K. Simmons,Detective O'Brien
10140,Skandar Keynes,Edmund Prevensie
10140,Georgie Henley,Lucy Pevensie
10140,Simon Pegg,Reepicheep (Voice)
10140,Gary Sweet,Lord Drinian
10140,Arthur Angel,Rhince
676,Ben Affleck,Capt. Rafe McCawley
676,Josh Hartnett,Capt. Danny Walker
676,Kate Beckinsale,Nurse Lt. Evelyn Johnson
676,Cuba Gooding Jr.,Petty Officer Doris Miller
676,Jon Voight,President Franklin Delano Roosevelt
1858,Shia LaBeouf,Sam Witwicky
1858,Josh Duhamel,Captain Lennox
1858,Megan Fox,Mikaela Banes
1858,Rachael Taylor,Maggie Madsen
1858,Tyrese Gibson,USAF Master Sgt. Epps
1966,Colin Farrell,Alexander
1966,Angelina Jolie,Olympias
1966,Val Kilmer,Philip
1966,Jared Leto,Hephaistion
1966,Jonathan Rhys Meyers,Cassander
675,Daniel Radcliffe,Harry Potter
675,Rupert Grint,Ron Weasley
675,Emma Watson,Hermione Granger
675,Michael Gambon,Albus Dumbledore
675,Ralph Fiennes,Lord Voldemort
674,Daniel Radcliffe,Harry Potter
674,Rupert Grint,Ron Weasley
674,Emma Watson,Hermione Granger
674,Ralph Fiennes,Lord Voldemort
674,Michael Gambon,Albus Dumbledore
8960,Will Smith,John Hancock
8960,Charlize Theron,Mary Embrey
8960,Jason Bateman,Ray Embrey
8960,Jae Head,Aaron Embrey
8960,Eddie Marsan,Red
6479,Will Smith,Robert Neville
6479,Alice Braga,Anna Montez
6479,Charlie Tahan,Ethan
6479,Salli Richardson-Whitfield,Zoe Neville
6479,Willow Smith,Marley Neville
118,Johnny Depp,Willy Wonka
118,Freddie Highmore,Charlie Bucket
118,David Kelly,Grandpa Joe
118,AnnaSophia Robb,Violet Beauregarde
118,Julia Winter,Veruca Salt
2062,Patton Oswalt,Remy (voice)
2062,Ian Holm,Skinner (voice)
2062,Lou Romano,Linguini (voice)
2062,Brian Dennehy,Django (voice)
2062,Peter Sohn,Emile (voice)
272,Christian Bale,Bruce Wayne / Batman
272,Michael Caine,Alfred Pennyworth
272,Liam Neeson,Henri Ducard
272,Katie Holmes,Rachel Dawes
272,Gary Oldman,Jim Gordon
10527,Ben Stiller,Alex (voice)
10527,Jada Pinkett Smith,Gloria (voice)
10527,David Schwimmer,Melman (voice)
10527,Chris Rock,Marty / Additional Zebras (voice)
10527,Cedric the Entertainer,Maurice (voice)
18360,Ben Stiller,Larry Daley
18360,Amy Adams,Amelia Earhart
18360,Owen Wilson,Jedediah Smith
18360,Hank Azaria,Kahmunrah / The Thinker / Abe Lincoln
18360,Robin Williams,Theodore Roosevelt
2080,Hugh Jackman,Logan / Wolverine / Weapon X
2080,Liev Schreiber,Victor Creed / Sabretooth
2080,Danny Huston,Stryker
2080,Lynn Collins,Kayla Silverfox / Silver Fox
2080,Ryan Reynolds,Wade Wilson / Deadpool / Weapon XI
605,Keanu Reeves,"Thomas ""Neo"" Anderson"
605,Laurence Fishburne,Morpheus
605,Carrie-Anne Moss,Trinity
605,Hugo Weaving,Agent Smith
605,Mary Alice,Oracle
109445,Kristen Bell,Anna (voice)
109445,Idina Menzel,Elsa (voice)
109445,Jonathan Groff,Kristoff (voice)
109445,Josh Gad,Olaf (voice)
109445,Santino Fontana,Hans (voice)
604,Keanu Reeves,"Thomas ""Neo"" Anderson"
604,Carrie-Anne Moss,Trinity
604,Laurence Fishburne,Morpheus
604,Hugo Weaving,Agent Smith
604,Helmut Bakaitis,The Architect
76338,Chris Hemsworth,Thor
76338,Natalie Portman,Jane Foster
76338,Tom Hiddleston,Loki
76338,Anthony Hopkins,Odin
76338,Christopher Eccleston,Malekith
76341,Tom Hardy,Max Rockatansky
76341,Charlize Theron,Imperator Furiosa
76341,Nicholas Hoult,Nux
76341,Hugh Keays-Byrne,Immortan Joe
76341,Josh Helman,Slit
13448,Tom Hanks,Robert Langdon
13448,Ewan McGregor,Camerlengo Patrick McKenna
13448,Ayelet Zurer,Vittoria Vetra
13448,Stellan Skarsgård,Commander Richter
13448,Pierfrancesco Favino,Inspector Olivetti
10195,Chris Hemsworth,Thor Odinson
10195,Natalie Portman,Jane Foster
10195,Tom Hiddleston,Loki
10195,Anthony Hopkins,Odin
10195,Stellan Skarsgård,Erik Selvig
13053,John Travolta,Bolt (voice)
13053,Miley Cyrus,Penny (voice)
13053,Susie Essman,Mittens (voice)
13053,Mark Walton,Rhino (voice)
13053,Malcolm McDowell,Dr. Calico (voice)
19585,Sam Rockwell,Darwin the Guinea Pig (voice)
19585,Penélope Cruz,Juarez the Guinea Pig (voice)
19585,Tracy Morgan,Blaster the Guinea Pig (voice)
